jianjie,name
"
内容简介
如果再有一次青春，我一定不虚度在空洞的教室，不听夸夸其谈，不奢谈人类理想，不闭嘴，要放声唱歇，还要学电吉他，去小说发生的城市，住在那里，不等待黎明降临，而是在黑暗里翻腾把青春烧起来，而...",《旅行不是一味药：从波罗的海到地中海》李贤文（作者）epub+mobi+azw3
"
内容简介
新希腊文学缔造者之一尼科斯•卡赞扎基斯在《希腊人左巴》序言里写道：“如果非要问谁在我心灵中留下的烙印最深，大概可以举出三四位：荷马、柏格森、尼采和左巴。荷马是只高超明亮的眼睛，太阳似的光...",《希腊人左巴》尼科斯·卡赞扎基斯（作者）epub+mobi+azw3
"
内容简介
当我们失去至亲之人，要如何与他们好好告别。全球销量500万，彼得·杰克逊执导同名电影小说原著，奥普拉读书俱乐部评选“15年来很好的15本书之一”

我叫苏茜。十四岁那年，我被谋杀了。
我被困在完...",《可爱的骨头》[美]艾丽斯·西伯德（作者）epub+mobi+azw3
"
内容简介
荒野驿站中的暗影，史上最恐怖的壁画，唐人的盗梦空间，寺院中的时光隧道……如果把唐朝正史比作土黄色的官道的话，那么唐代志怪就是官道两旁的密林。本书以唐人志怪传奇为线索，解读和重写了那个时代...",《唐朝诡事录3：骇人听闻大结局》魏风华（作者）epub+mobi+azw3
"
内容简介
《Python Web开发实战》按照一个Web 产品从无到有、从简单变复杂、从基础到进阶的过程，多角度、全方位讲述了Python Web 开发。内容涉及Web 框架、测试、数据库、消息队列、服务化、持续集成等，把网...",《Python Web开发实战》董伟明（作者）epub+mobi+azw3
"
内容简介
随着罗莎渐渐接近吸血鬼家族的中心，血族的谱系制度都暴露在她眼前，罗莎也有了全新的责任与任务。通过好友瑞典伯爵费森的介绍，罗莎与法国王后玛丽结识，玛丽王后从小便是一名美丽而又坚毅无畏的女...",《十字弓·背叛者月》恒殊（作者）epub+mobi+azw3
"
内容简介
这是一本关于京东方的再创业史。记录了京东方在一个全球高技术工业中的史诗般崛起。通过讲述这个真实的故事——真实的团队在真实的世界里创造出来的真实业绩——解释了中国经济发展的动力。

20年来，...",《光变：一个企业及其工业史》路风（作者）epub+mobi+azw3
"
内容简介
《身体不说谎》在这本书中我主要关注的是：否认我们真实而强烈的情绪，会给身体带来什么后果。这些否认，很多是基于道德与宗教所需。根据我在心理治疗方面的经验（其中也包含了我个人的经验，以及我...",《身体不说谎》[德]爱丽丝·米勒（作者）epub+mobi+azw3
"
内容简介
本书由 Spark 开发者及核心成员共同打造，讲解了网络大数据时代应运而生的、能高效迅捷地分析处理数据的工具——Spark，它带领读者快速掌握用 Spark 收集、计算、简化和保存海量数据的方法，学会交互、...",《Spark快速大数据分析》[美]卡劳 等（作者）epub+mobi+azw3
"
内容简介
这是珠峰登山史上最惨痛的一场山难，12名登山者罹难，是自人类首次登上珠峰以来，死亡人数最多的一个登山季。1996年，乔恩•克拉考尔作为《户外》杂志特派记者跟随一支商业登山队攀登珠峰。5月10日，...",《进入空气稀薄地带：登山者的圣经》[美]乔恩·克拉考尔（作者）epub+mobi+azw3
"
内容简介
在西方，安德列·别雷被看作20世纪俄国小说家中最杰出的天才。著名小说家纳博科夫更是将安德列·别雷最重要的作品《彼得堡》与西方的另外三部划时代作品——《追忆似水年华》《尤利西斯》《变形记》一起...",《彼得堡》[俄]安德列·别雷（作者）epub+azw3
"
内容简介
《清代的皇权与世家》讲述了海宁陈氏、查氏，桐城张氏，山东孔氏，以及满洲钮祜禄氏等，均为清代著名的世家大族。《清代的皇权与世家》对其家族形态、人口成长、地域分布，及其与皇权的关系等论题进...",《清代的皇权与世家 (中国社会文化史丛书)》赖惠敏（作者）epub+mobi+azw3
"
内容简介
《十字弓•玫瑰之刃》讲述了拉密那家族——吸血鬼猎人家族亘古便与利刃为生，有如弯月的纯银盘纹十字弓，代表了拉密那家族几千年来的荣耀与辉煌，他们的使命就是猎杀吸血鬼。吸血鬼猎人家族出身的罗莎从...",《十字弓·玫瑰之刃》恒殊（作者）epub+mobi+azw3
"
内容简介
在人类共同的精神世界，爱伦 ·坡的想象力和冒险精神无可替代，他一个人开创了推理、科幻和惊悚小说。侦探悬疑小说的至高奖项“爱伦·坡奖”以他的名字命名。

精选26篇爱伦·坡短篇小说代表作，并分为...",《爱伦·坡短篇小说集》[美]埃德加·爱伦·坡（作者）epub+mobi+azw3
"
内容简介
随着大数据时代到来，网络信息量也变得更多更大，基于传统搜索引擎的局限性，网络爬虫应运而生，本书从基本的爬虫原理开始讲解，通过介绍Pthyon编程语言和Web前端基础知识引领读者入门，之后介绍动态...",《Python爬虫开发与项目实战》范传辉（作者）epub+mobi+azw3
"
内容简介
《从创意到畅销书——修改与自我编辑》为你提供了将草稿打磨成完善作品的工具和建议，以使你的作品为代理商和出版人所青睐。阅读本书你将学到：

1.自我编辑技巧，涉及情节、结构、人物、主题、声音...",《从创意到畅销书：修改与自我编辑（第2版）（创意写作书系）》詹姆斯·斯科特·贝尔（作者）epub+mobi+azw3
"
内容简介
《烟火人间》这本书选取了老舍先生的一些经典短篇小说和散杂文作品。这些作品多取材于市民生活，通过日常平凡的场景反映普遍的社会冲突，挖掘对人们生存、命运的思考。这些文章或描写城市平民的生活...",《烟火人间》老舍（作者）epub+mobi+azw3
"
内容简介
本书由一个真正钻研容器技术的团队写作，他们不仅仅是在使用Docker，更多的是在探索容器的未来之路，希望把“代码与产品，理论与实践”完美结合。本书内容从Docker的来源、镜像、仓库、安全、网络、卷...",《Docker进阶与实战》华为Docker实践小组（作者）epub+mobi+azw3
"
内容简介
《中世纪的秋天》研究14世纪和15世纪的欧洲文化史，以北欧的法国和与荷兰文化为重点；描绘欧洲基督教文化在古典文化、人文主义中的自我更新。这段时间的欧洲社会风云激荡，十字军东征尚未收场，神秘...",《中世纪的秋天：14世纪和15世纪法国与荷兰的生活、思想与艺术》约翰·赫伊津赫（作者）epub+mobi+azw3
"
内容简介
《西方惊险小说集(套装共3册)》包括《西方惊险小说集1》、《西方惊险小说集2》、《西方惊险小说集3》共3册。精选了54篇颇有代表性的当代西方惊险文学名作，这些故事创意奇特、想象丰富、情节诡异，为...",《西方惊险小说集(套装共3册)》[美]爱伦•坡 等（作者）epub+mobi+azw3
"
内容简介
《雅各布之屋》是伍尔夫所写的第三部小说。在此之前发表的《远航》和《夜与日》是用较为传统的创作手法写的。《雅各布之屋》是伍尔夫第一部开始采用意识流手法的实验作品。她不顾事件发生的时间顺序...",《雅各布之屋》[英]弗吉尼亚·伍尔夫（作者）epub+azw3
"
内容简介
比尔·波特此次旅程由香港出发，途经广东、湖南、湖北、江西、安徽、江苏，最后到达浙江，直线距离超过三千公里，囊括了中国经济和文化的心脏地区。在书中，作者以独特的视角和思索，探访了上述地区的...",《江南之旅》[美]比尔•波特（作者）epub+mobi+azw3
"
内容简介
曹家在南京获罪被抄没后，曹雪芹随母亲、叔父北上归旗， 求学于八旗子弟官学。在此期间，

曹雪芹的人生经历更为丰富，见识了上至朝廷军国大事、下至百姓井生活的种种情景。 其间穿插着稗官野罗、...",《曹雪芹别传（自制）》高阳（作者）epub+mobi
"
内容简介
《克罗谈投资策略》是作者的第六本专著。斯坦利·克罗先生可谓期货市场上的一位传奇式人物，1960年斯坦利先生进入了全球金融中心华尔街。他在华尔街的33年之中，一直在期货市场上从事商品期货交易，积...",《克罗谈投资策略：神奇的墨菲法则》[美]斯坦利・克罗（作者）epub+mobi+azw3
"
内容简介
波兰作家、1905年文学奖获得者亨利克•显克维奇的《旅美书简》是他在19世纪70年代中旅游美国时写的散文集，曾以书信形式发表于当时波兰报刊。作者描述了美国的政冶、经济、社会生活、风俗习惯、自然风...",《旅美书简》[波兰]显克微支（作者）epub+mobi+azw3
"
内容简介
《清醒：如何用价值观创造价值》是考夫曼15年来在美国、欧洲、南美各地，与许多企业领导者一起努力的成果。他与各种阶层的管理者共事，从第1线的监工到高阶经理，也涵盖各种产业。书中的内容在真实世...",《清醒：如何用价值观创造价值》弗雷德·考夫曼（作者）epub+mobi+azw3
"
内容简介
《善恶的彼岸》于1885年夏动笔，翌年冬完成。尼采在该书中力图界定“善”与“恶”这两个相对的词，为图区分道德和非道德。他察觉到人们为使古代道德准则和现代人的需要相一致所做的努力，是有矛盾的，认...",《善恶的彼岸》[德]尼采（作者）epub+mobi+azw3
"
内容简介
冬木亚纪是个才色兼备的女子，在她二十九岁这年，收到前男友佐藤康的结婚请柬。与康分手后，亚纪曾收到康的母亲写来的一封信，然而直到康的婚礼当日，她才把两年前一直没看完的信仔细读完，首次察觉...",《你是我的命运》[日]白石一文（作者）epub+mobi+azw3
"
内容简介
Vim是一款功能丰富而强大的文本编辑器，其代码补全、编译及错误跳转等方便编程的功能特别丰富，在程序员中得到非常广泛的使用。Vim能够大大提高程序员的工作效率。对于Vim高手来说，Vim能以与思考同...",《Vim实用技巧：使用模式入门篇(第2版)》Drew Neil（作者）epub+mobi+azw3
"
内容简介
在一个对古代文化有着相当热爱的现代人看来，当下的古装影视剧简直就是灾难现场，从吐槽古装剧开始逐步走上古代服饰文化考据的不归之路，自称“文史杂牌军”的十五言作者喪無，用一套风趣又扎实的文字...",《古代女生的衣，古代男生的帽》喪無（作者）epub+mobi+azw3
"
内容简介
《今生只活得平静二字》一书中，林海音深情地描写了她的童年、中年、老年；描写了她恋恋不忘的北平；描写了她的父母、子女以及朋友；描写了生活中的小事小物，一街、一屋、一花、一树、一衣、一食。...",《今生只活得平静二字》林海音（作者）epub+mobi+azw3
"
内容简介
我们了解宇宙吗？宇宙有哪些奥秘？我们生活在一个膜宇宙之上吗？

宇宙隐藏着与我们想象中完全不同的维度吗？我们将怎样证实这些维度的存在？四维世界甚至五维世界的存在，是否会颠覆传统的物理学...",《弯曲的旅行：隐秘的宇宙之维》[美]丽莎·兰道尔（作者）epub+mobi+azw3
"
内容简介
《上天堂》是一部耐看的小说。作者以文人情怀，诗意描述，在耳熟能详的通俗爱情婚姻故事中写出不俗，并保持高度的道德警醒。爱情“天堂”里一个个有情有意的男女，为“情”而迷，也终于因情而殇，在各自...",《上天堂》莲溪生（作者）epub+mobi+azw3
"
内容简介
本书选择中国历史上经济最富庶、政治最开明、“最具幸福感”的朝代——宋朝为文本对象，形成一部“漂”在宋朝的全新生活指南，一部开启宋朝穿越之旅的完全攻略。作者以近100万字的史料阅读查证为依托，以通...",《假装生活在宋朝：京都汴梁等地生活指南》马骅（作者）epub+mobi+azw3
"
内容简介
胡适是上世纪“五四”新文化运动的先驱之一，是开启中国社会文艺复兴的重要人物。作为一个文化符号，胡适在当时就具有很大的感召力。而作为一个集文学、史学、哲学、教育学、红学、教育学、伦理学、政...",《进一寸有一寸的欢喜：胡适谈读书》胡适（作者）epub+mobi+azw3
"
内容简介
这是民国二十三年的成都，一座悠闲的城，一座古老的城。从南京来的军官程涛带着蒋介石密令来到这座城当了四川主席刘湘的副官，但他没有想到，他的命运将在这里改变。在这，他遇到了英国来的女公爵，...",《锦城梦华录》疏狂老鬼（作者）epub+mobi+azw3
"
内容简介
本书是“人本心理学之父”、当代最伟大的心理学家之一马斯洛最重要的著作之一。在书中，他提出了许多精彩的理论，包括人本心理学科学观的理论、需要层次论、自我实现理论、元动机理论、心理治疗理论、...",《动机与人格（精制精排）》[美]亚伯拉罕·马斯洛（作者）epub+mobi
"
内容简介
本卷收录作者在国外漂泊期间记述心事与心绪的随感作品近八十篇，内分“亲情”、“离情”、“旧情”和“新情”四辑，由此亦可见出作者的“漂流”，都系于一个“情”字，这“漂泊心绪”是“心史”，更是“情史”。

这...",《漂泊心绪》刘再复（作者）epub+mobi+azw3
"
内容简介
超文本转移协议（Hypertext Transfer Protocol，HTTP）是在万维网上进行通信时所使用的协议方案。HTTP有很多应用，但最著名的是用于web浏览器和web服务器之间的双工通信。

HTTP起初是一个简单的协...",《HTTP权威指南》David Gourley（作者）epub+mobi+azw3
"
内容简介
安妮塔·阿米瑞瓦尼在她的处女作《花祭》中将时间带到17世纪的伊朗，讲述了一个关于伊斯兰世界女性地位的故事。它既是一部历史小说，也是一部带有轻微女性主义气息的著作，还可以看做是一部肥皂剧。
...",《花祭》[美]安妮塔.阿米瑞瓦尼（作者）epub+mobi+azw3
"
内容简介
《爱上铸铁锅美食》一书一步一步带领读者认识铸铁锅，并分食材详细介绍其使用铸铁锅烹饪的中西料理，包括蔬菜料理、肉蛋料理、水产料理和主食料理，更有简单易做的铸铁锅甜品，真正帮您实现一锅搞定...",《爱上铸铁锅美食》一厨作（作者）epub+mobi+azw3
"
内容简介
《火》收入卡佛的短篇小说、随笔及诗歌。小说方面，卡佛特别不满意《纽约客》文学编辑利什对《洗澡》、《所有的东西都粘在他身上》和《咖啡先生和修理先生》的删节，他改了标题，大量修改内容，都收...",《火》雷蒙德•卡佛（作者）epub+mobi+azw3
"
内容简介
路遥的短暂人生迸发出强大的生命光焰，其作品《人生》《平凡的世界》影响了千千万万普通读者。然而，英年早逝的路遥的人生状态始终像谜一样地困扰读者。《路遥传》的作者是路遥生前的忘年交、路遥文...",《路遥传：重新开启平凡的世界》厚夫（作者）epub+mobi+azw3
"
内容简介
中古时期的不列颠群岛，列国纷争。传说中的魔鬼之子梅林藏身于英格兰，等待着能够拔出石中剑的全境之王——亚瑟。在梅林的辅佐下，亚瑟王结束混战，远征罗马，聚拢150位圆桌骑士开创盛世，在辉煌时代展...",《亚瑟王之死》托马斯·马洛礼（作者）epub+mobi+azw3
"
内容简介
偶然在地下室发现的尘封半个世纪之久的日记，促使八十五岁高龄的恩岑斯贝格尔重新串联起他生平所经历的东西方重大历史事件。他在20世纪60年代两次深入探访苏联、古巴、柬埔寨等社会主义阵营国家，记...",《动荡》[德]汉斯·马格努斯·恩岑斯贝格尔（作者）epub+mobi+azw3
